simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
906971,9.810014162,0.391295969,0.393795967,0.002499998
906979,9.810000192,0.393795967,0.396295965,0.002499998
906988,9.809986222,0.396295965,0.398795962,0.002499997
906997,9.810014162,0.398795962,0.40129599,0.002500028
907006,9.809986222,0.40129599,0.403795987,0.002499997
907015,9.810014162,0.403795987,0.406295955,0.002499968
907023,9.809992742,0.406295955,0.408795983,0.002500028
907032,9.810000192,0.408795983,0.41129598,0.002499997
907042,9.810000192,0.41129598,0.413795978,0.002499998
907051,9.810000192,0.413795978,0.416295975,0.002499997
907062,9.810006711,0.416295975,0.418795973,0.002499998
907071,9.809985291,0.418795973,0.421295971,0.002499998
907079,9.810007643,0.421295971,0.423795968,0.002499997
907087,9.810000192,0.423795968,0.426295966,0.002499998
907097,9.810007643,0.426295966,0.428795993,0.002500027
907106,9.809986222,0.428795993,0.431295961,0.002499968
907114,9.810015093,0.431295961,0.433795959,0.002499998
907126,9.809992742,0.433795959,0.436295956,0.002499997
907134,9.809992742,0.436295956,0.438795984,0.002500028
907142,9.810014162,0.438795984,0.441295981,0.002499997
907151,9.809992742,0.441295981,0.443795949,0.002499968
907161,9.810000192,0.443795949,0.446295977,0.002500028
907170,9.809992742,0.446295977,0.448795974,0.002499997
907179,9.810000192,0.448795974,0.451295972,0.002499998
907188,9.810014162,0.451295972,0.453795969,0.002499997
907197,9.809993673,0.453795969,0.456295967,0.002499998
907206,9.809992742,0.456295967,0.458795965,0.002499998
907215,9.810014162,0.458795965,0.461295962,0.002499997
907224,9.810000192,0.461295962,0.46379596,0.002499998
907233,9.810000192,0.46379596,0.466295987,0.002500027
907241,9.809978772,0.466295987,0.468795955,0.002499968
907250,9.810020681,0.468795955,0.471295983,0.002500028
907259,9.809985291,0.471295983,0.47379598,0.002499997
907268,9.810007643,0.47379598,0.476295978,0.002499998
907277,9.810000192,0.476295978,0.478796005,0.002500027
907286,9.810007643,0.478796005,0.481295943,0.002499938
907295,9.809992742,0.481295943,0.483795941,0.002499998
907304,9.809994604,0.483795941,0.486295938,0.002499997
907312,9.810014162,0.486295938,0.488795996,0.002500058
907321,9.809986222,0.488795996,0.491296023,0.002500027
907330,9.810015093,0.491296023,0.493795961,0.002499938
907339,9.809992742,0.493795961,0.496295959,0.002499998
907348,9.810000192,0.496295959,0.498795956,0.002499997
907357,9.809986222,0.498795956,0.501295924,0.002499968
907365,9.810028132,0.501295924,0.503795981,0.002500057
907374,9.809992742,0.503795981,0.506295919,0.002499938
907383,9.809987154,0.506295919,0.508795977,0.002500058
907392,9.810000192,0.508795977,0.511296034,0.002500057
907401,9.810007643,0.511296034,0.513795972,0.002499938
907410,9.810006711,0.513795972,0.516296029,0.002500057
907419,9.809986222,0.516296029,0.518795967,0.002499938
907428,9.810000192,0.518795967,0.521295905,0.002499938
907437,9.810014162,0.521295905,0.523795962,0.002500057
907445,9.809978772,0.523795962,0.52629602,0.002500058
907454,9.810020681,0.52629602,0.528795958,0.002499938
907462,9.810000192,0.528795958,0.531295896,0.002499938
907470,9.809986222,0.531295896,0.533795953,0.002500057
907480,9.810000192,0.533795953,0.53629601,0.002500057
907488,9.810014162,0.53629601,0.538795948,0.002499938
907498,9.810000192,0.538795948,0.541296005,0.002500057
907507,9.809985291,0.541296005,0.543795943,0.002499938
